City/Town,Ward,Pct,"Shap Smith","Peter Peltz",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Elmore,,,125,88,3,56,272
Morristown,,,438,278,2,344,"1,062"
Woodbury,,,130,142,2,58,332
Worcester,,,172,163,0,73,408
TOTALS,,,865,671,7,531,"2,074"
