City/Town,Ward,Pct,"Norman H. McAllister","Albert Pearce",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berkshire,,,54,53,2,25,134
Franklin,,,85,57,4,50,196
Highgate,,,123,76,1,88,288
Richford,,,42,62,2,30,136
TOTALS,,,304,248,9,193,754
