City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,
Marlboro,,,227,0,37,264
Newfane,,,328,8,62,398
Townshend,,,129,3,40,172
TOTALS,,,684,11,139,834
