City/Town,Ward,Pct,"Michael Yantachka","Charles Russell","Mike Kurt",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Charlotte,,,374,323,81,16,35,829
Hinesburg,,,13,9,0,0,7,29
TOTALS,,,387,332,81,16,42,858
