City/Town,Ward,Pct,"Brigid E. Faenza",Write-Ins,Blanks,"Total Votes Cast"
,,,
Ludlow,,,179,9,53,241
"Mount Holly",,,139,6,17,162
Plymouth,,,55,1,23,79
TOTALS,,,373,16,93,482
