City/Town,Ward,Pct,"Mac Rood",Write-Ins,Blanks,"Total Votes Cast"
,,,
Fayston,,,141,0,29,170
Waitsfield,,,266,2,71,339
Warren,,,207,6,36,249
TOTALS,,,614,8,136,758
