City/Town,Ward,Pct,"Deb Nevil",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,19,0,7,26
Cambridge,,,226,69,67,362
Waterville,,,42,3,19,64
TOTALS,,,287,72,93,452
