City/Town,Ward,Pct,"Maxine Grad",Write-Ins,Blanks,"Total Votes Cast"
,,,
Moretown,,,247,3,316,566
Northfield,,,376,15,485,876
Roxbury,,,61,7,92,160
TOTALS,,,684,25,893,"1,602"
