City/Town,Ward,Pct,"Len Britton",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,94,2,17,113
Albany,,,78,6,18,102
Alburgh,,,66,4,19,89
Andover,,,27,0,5,32
Arlington,,,85,1,7,93
Athens,,,9,1,2,12
Bakersfield,,,34,5,14,53
Baltimore,,,14,0,3,17
Barnard,,,38,3,6,47
Barnet,,,102,6,24,132
"Barre City",-,"Washington 3-1",186,2,56,244
"Barre City",-,"Washington 3-2",143,6,43,192
"Barre City",-,"Washington 3-3",12,2,10,24
"Barre Town",,,598,36,155,789
Barton,,,145,11,25,181
Belvidere,,,16,0,6,22
Bennington,-,"Bennington 2-1",114,3,32,149
Bennington,-,"Bennington 2-2",147,2,43,192
Benson,,,45,2,7,54
Berkshire,,,34,17,16,67
Berlin,,,109,4,57,170
Bethel,,,73,3,16,92
Bloomfield,,,13,3,1,17
Bolton,,,47,2,14,63
Bradford,,,122,7,34,163
Braintree,,,84,2,14,100
Brandon,,,171,5,40,216
Brattleboro,-,"Windham 3-1",105,3,23,131
Brattleboro,-,"Windham 3-2",54,3,12,69
Brattleboro,-,"Windham 3-3",45,0,15,60
Bridgewater,,,39,2,5,46
Bridport,,,85,13,23,121
Brighton,,,73,9,26,108
Bristol,,,167,32,30,229
Brookfield,,,61,2,14,77
Brookline,,,19,1,6,26
Brownington,,,30,3,7,40
Brunswick,,,6,5,2,13
Burke,,,64,1,15,80
Burlington,-,"Chittenden 3-1",238,3,67,308
Burlington,-,"Chittenden 3-2",111,3,36,150
Burlington,-,"Chittenden 3-3",74,0,14,88
Burlington,-,"Chittenden 3-4",38,3,15,56
Burlington,-,"Chittenden 3-5",136,3,53,192
Burlington,-,"Chittenden 3-6",12,1,6,19
Cabot,,,44,1,12,57
Calais,,,80,1,36,117
Cambridge,,,110,25,28,163
Canaan,,,14,8,51,73
Castleton,,,160,0,34,194
Cavendish,,,66,1,9,76
Charleston,,,39,4,9,52
Charlotte,,,134,4,50,188
Chelsea,,,66,2,23,91
Chester,,,116,2,15,133
Chittenden,,,128,1,30,159
Clarendon,,,139,6,20,165
