City/Town,Ward,Pct,"Chip Conquest",Write-Ins,Blanks,"Total Votes Cast"
,,,
Groton,,,76,2,13,91
Newbury,,,182,1,21,204
Topsham,,,73,2,15,90
TOTALS,,,331,5,49,385
