City/Town,Ward,Pct,"Mike Mrowicki","David L. Deen",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Dummerston,,,378,365,1,156,900
Putney,,,508,462,3,173,"1,146"
Westminster,,,462,519,2,269,"1,252"
TOTALS,,,"1,348","1,346",6,598,"3,298"
