City/Town,Ward,Pct,"Dave Potter","Tony Morgan",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Clarendon,,,142,94,2,112,350
Ira,,,28,27,0,25,80
Proctor,,,178,142,1,191,512
"W. Rutland",,,109,114,4,87,314
TOTALS,,,457,377,7,415,"1,256"
