City/Town,Ward,Pct,"Stephen W. Webster",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,,,94,0,6,100
Brookfield,,,70,2,5,77
Chelsea,,,79,0,12,91
Corinth,,,60,1,16,77
Randolph,,,296,4,23,323
Strafford,,,30,0,9,39
Thetford,,,60,1,3,64
Tunbridge,,,72,1,11,84
Vershire,,,19,0,3,22
Washington,,,33,0,8,41
Williamstown,,,135,2,21,158
TOTALS,,,948,11,117,"1,076"
