City/Town,Ward,Pct,"Tom Burditt","Richard Norris",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Clarendon,,,117,103,3,107,330
Ira,,,28,20,1,27,76
Proctor,,,88,105,1,106,300
"W. Rutland",,,108,84,3,93,288
TOTALS,,,341,312,8,333,994
