City/Town,Ward,Pct,"Mary Daly",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,136,9,27,172
Fairlee,,,30,1,4,35
"W. Fairlee",,,25,0,3,28
TOTALS,,,191,10,34,235
