City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Athens,,,24,20,1,9,54
Brookline,,,57,64,0,17,138
Grafton,,,82,79,5,42,208
Rockingham,,,747,660,5,270,"1,682"
Westminster,,,27,28,1,8,64
Windham,,,61,65,2,17,145
TOTALS,,,998,916,14,363,"2,291"
