City/Town,Ward,Pct,"Margaret Cheney","Jim Masland",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Norwich,,,742,658,0,392,"1,792"
Sharon,,,151,143,2,88,384
Strafford,,,235,221,1,117,574
Thetford,,,344,428,1,220,993
TOTALS,,,"1,472","1,450",4,817,"3,743"
