City/Town,Ward,Pct,"Gregory Clark","Thelma Oxholm",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,102,94,0,30,226
Ferrisburgh,,,122,96,1,53,272
Panton,,,44,38,0,10,92
Vergennes,,,124,111,0,39,274
Waltham,,,14,15,1,6,36
TOTALS,,,406,354,2,138,900
