City/Town,Ward,Pct,"Eileen Dickinson","George Allard","James Gregoire",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Fairfield,,,77,19,76,28,46,246
Fletcher,,,43,19,20,0,30,112
"St. Albans Town",,,403,253,160,34,190,"1,040"
TOTALS,,,523,291,256,62,266,"1,398"
