City/Town,Ward,Pct,"Sarah E. Buxton","Walter E. Hastings",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Royalton,,,204,177,2,6,389
Tunbridge,,,185,44,4,4,237
TOTALS,,,389,221,6,10,626
