City/Town,Ward,Pct,"Megan Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,83,11,18,112
Chittenden,,,127,3,22,152
Killington,,,66,2,24,92
Mendon,,,101,2,24,127
TOTALS,,,377,18,88,483
