City/Town,Ward,Pct,"Adam B. Howard",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,20,0,2,22
Cambridge,,,150,1,12,163
Waterville,,,39,1,7,47
TOTALS,,,209,2,21,232
