City/Town,Ward,Pct,"Oliver K. Olsen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jamaica,,,56,0,3,59
Londonderry,,,103,3,1,107
Stratton,,,16,0,1,17
Weston,,,36,0,4,40
Winhall,,,46,2,0,48
TOTALS,,,257,5,9,271
