City/Town,Ward,Pct,"Carlynann Ackermann",Write-Ins,Blanks,"Total Votes Cast"
,,,
Arlington,,,82,2,9,93
Rupert,,,6,0,1,7
Sandgate,,,23,0,2,25
Sunderland,,,27,0,9,36
TOTALS,,,138,2,21,161
