City/Town,Ward,Pct,"Gary Gilbert","Steve Schlipf",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfax,,,334,177,9,246,766
Georgia,,,195,192,17,178,582
TOTALS,,,529,369,26,424,"1,348"
