City/Town,Ward,Pct,"Mitzi Johnson","Robert C. Krebs",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,132,98,5,103,338
"Grand Isle",,,249,197,34,176,656
"Isle La Motte",,,64,45,11,80,200
Milton,,,81,74,0,69,224
"N. Hero",,,105,79,3,75,262
"S. Hero",,,262,235,14,155,666
TOTALS,,,893,728,67,658,"2,346"
