City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Addison,,,-,3,110,113
Albany,,,-,9,93,102
Alburgh,,,-,7,82,89
Andover,,,-,0,32,32
Arlington,,,-,4,89,93
Athens,,,-,1,11,12
Bakersfield,,,-,6,47,53
Baltimore,,,-,1,16,17
Barnard,,,-,1,46,47
Barnet,,,-,13,119,132
"Barre City",-,"Washington 3-1",-,16,228,244
"Barre City",-,"Washington 3-2",-,10,182,192
"Barre City",-,"Washington 3-3",-,2,22,24
"Barre Town",,,-,69,720,789
Barton,,,-,19,162,181
Belvidere,,,-,0,22,22
Bennington,-,"Bennington 2-1",-,9,140,149
Bennington,-,"Bennington 2-2",-,2,190,192
Benson,,,-,2,52,54
Berkshire,,,-,13,54,67
Berlin,,,-,9,161,170
Bethel,,,-,3,89,92
Bloomfield,,,-,4,13,17
Bolton,,,-,1,63,64
Bradford,,,-,12,158,170
Braintree,,,-,8,92,100
Brandon,,,-,10,206,216
Brattleboro,-,"Windham 3-1",-,10,121,131
Brattleboro,-,"Windham 3-2",-,4,65,69
Brattleboro,-,"Windham 3-3",-,2,58,60
Bridgewater,,,-,5,41,46
Bridport,,,-,18,100,118
Brighton,,,-,11,97,108
Bristol,,,-,40,189,229
Brookfield,,,-,7,69,76
Brookline,,,-,1,25,26
Brownington,,,-,5,35,40
Brunswick,,,-,5,8,13
Burke,,,-,6,74,80
Burlington,-,"Chittenden 3-1",-,7,301,308
Burlington,-,"Chittenden 3-2",-,8,142,150
Burlington,-,"Chittenden 3-3",-,2,86,88
Burlington,-,"Chittenden 3-4",-,0,56,56
Burlington,-,"Chittenden 3-5",-,4,188,192
Burlington,-,"Chittenden 3-6",-,1,18,19
Cabot,,,-,2,55,57
Calais,,,-,6,111,117
Cambridge,,,-,33,130,163
Canaan,,,-,8,65,73
Castleton,,,-,5,189,194
Cavendish,,,-,4,73,77
Charleston,,,-,5,47,52
Charlotte,,,-,6,183,189
Chelsea,,,-,6,84,90
Chester,,,-,5,128,133
Chittenden,,,-,5,154,159
Clarendon,,,-,4,161,165
Colchester,-,"Chittenden 7-1",-,4,273,277
Colchester,-,"Chittenden 7-2",-,4,365,369
Concord,,,-,17,56,73
Corinth,,,-,6,70,76
Cornwall,,,-,2,63,65
Coventry,,,-,7,40,47
Craftsbury,,,-,9,64,73
Danby,,,-,4,76,80
Danville,,,-,3,178,181
Derby,,,-,21,252,273
Dorset,,,-,1,102,103
Dover,,,-,1,53,54
Dummerston,,,-,3,65,68
Duxbury,,,-,2,75,77
"E. Haven",,,-,7,55,62
"E. Montpelier",,,-,9,172,181
Eden,,,-,7,38,45
Elmore,,,-,0,45,45
Enosburgh,,,-,33,82,115
Essex,-,"Chittenden 6-1",-,0,367,367
Essex,-,"Chittenden 6-2",-,13,419,432
Essex,-,"Chittenden 6-3",-,3,114,117
"Fair Haven",,,-,12,142,154
Fairfax,,,-,4,158,162
Fairfield,,,-,26,97,123
Fairlee,,,-,2,33,35
Fayston,,,-,3,56,59
Ferrisburgh,,,-,2,134,136
Fletcher,,,-,1,55,56
Franklin,,,-,14,84,98
Georgia,,,-,15,178,193
Glover,,,-,13,95,108
Goshen,,,-,1,26,27
Grafton,,,-,0,39,39
Granby,,,-,2,19,21
"Grand Isle",,,-,24,110,134
Granville,,,-,1,10,11
Greensboro,,,-,2,47,49
Groton,,,-,11,73,84
Guildhall,,,-,4,45,49
Guilford,,,-,4,43,47
Halifax,,,-,1,26,27
Hancock,,,-,1,16,17
Hardwick,,,-,8,97,105
Hartford,-,"Windsor 6-1",-,6,71,77
Hartford,-,"Windsor 6-2",-,11,173,184
Hartland,,,-,4,137,141
Highgate,,,-,15,129,144
Hinesburg,-,"Chittenden 1-1",-,2,154,156
Hinesburg,-,"Chittenden 1-2",-,0,6,6
Holland,,,-,1,33,34
Hubbardton,,,-,0,27,27
Huntington,,,-,1,70,71
"Hyde Park",,,-,12,154,166
Ira,-,"Rutland 1-1",-,0,6,6
Ira,-,"Rutland 1-2",-,1,37,38
Irasburg,,,-,6,60,66
"Isle La Motte",,,-,2,27,29
Jamaica,,,-,8,51,59
Jay,,,-,2,14,16
Jericho,,,-,18,266,284
Johnson,,,-,5,85,90
Killington,,,-,7,94,101
Kirby,,,-,5,28,33
Landgrove,,,-,1,8,9
Leicester,,,-,1,52,53
Lemington,,,-,1,9,10
Lincoln,,,-,4,67,71
Londonderry,,,-,3,104,107
Lowell,,,-,2,36,38
Ludlow,,,-,5,79,84
Lunenburg,,,-,20,163,183
Lyndon,,,-,16,235,251
Maidstone,,,-,9,27,36
Manchester,,,-,8,190,198
Marlboro,,,-,2,20,22
Marshfield,,,-,9,77,86
Mendon,,,-,9,115,124
Middlebury,,,-,9,175,184
Middlesex,,,-,6,98,104
"Middletown Springs",,,-,1,41,42
Milton,-,"Chittenden 9",-,9,467,476
Milton,-,"Grand Isle-Chittenden 1-1",-,0,79,79
Monkton,,,-,3,57,60
Montgomery,,,-,2,35,37
Montpelier,,,-,10,372,382
Moretown,,,-,7,122,129
Morgan,,,-,1,66,67
Morristown,,,-,13,270,283
"Mount Holly",,,-,1,95,96
"Mount Tabor",,,-,0,10,10
"New Haven",,,-,5,104,109
Newark,,,-,0,37,37
Newbury,,,-,7,127,134
Newfane,,,-,5,38,43
"Newport City",,,-,34,164,198
"Newport Town",,,-,8,60,68
"N. Hero",,,-,7,60,67
Northfield,,,-,16,267,283
Norton,,,-,4,13,17
Norwich,,,-,3,58,61
Orange,,,-,11,82,93
Orwell,,,-,10,152,162
Panton,,,-,1,45,46
Pawlet,,,-,5,59,64
Peacham,,,-,2,45,47
Peru,,,-,0,22,22
Pittsfield,,,-,4,41,45
Pittsford,,,-,19,207,226
Plainfield,,,-,2,64,66
Plymouth,,,-,1,44,45
