City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
Pomfret,,,-,2,42,44
Poultney,,,-,7,132,139
Pownal,,,-,0,90,90
Proctor,,,-,6,140,146
Putney,,,-,1,44,45
Randolph,,,-,13,302,315
Reading,,,-,0,29,29
Readsboro,,,-,2,28,30
Richford,,,-,7,61,68
Richmond,,,-,2,173,175
Ripton,,,-,0,13,13
Rochester,,,-,8,68,76
Rockingham,,,-,11,190,201
Roxbury,,,-,2,29,31
Royalton,,,-,6,95,101
Rupert,-,"Bennington 5",-,0,7,7
Rupert,-,"Rutland 8",-,0,18,18
"Rutland City",-,"Rutland 5-1",-,29,318,347
"Rutland City",-,"Rutland 5-2",-,18,224,242
"Rutland City",-,"Rutland 5-3",-,9,119,128
"Rutland City",-,"Rutland 5-4",-,19,189,208
"Rutland Town",,,-,21,373,394
Ryegate,,,-,6,0,6
Salisbury,,,-,3,42,45
Sandgate,,,-,0,25,25
Searsburg,,,-,1,9,10
Shaftsbury,,,-,13,120,133
Sharon,,,-,2,43,45
Sheffield,,,-,3,32,35
Shelburne,-,"Chittenden 5-1",-,6,267,273
Shelburne,-,"Chittenden 5-2",-,4,184,188
Sheldon,,,-,41,67,108
Shoreham,,,-,10,76,86
Shrewsbury,,,-,6,70,76
"S. Burlington",-,"Chittenden 3-10",-,8,167,175
"S. Burlington",-,"Chittenden 3-7",-,9,150,159
"S. Burlington",-,"Chittenden 3-8",-,17,227,244
"S. Burlington",-,"Chittenden 3-9",-,8,206,214
"S. Hero",,,-,32,90,122
Springfield,-,"Windsor 1-1",-,0,7,7
Springfield,-,"Windsor 1-2",-,30,363,393
"St. Albans City",,,-,105,201,306
"St. Albans Town",,,-,120,400,520
"St. George",,,-,0,22,22
"St. Johnsbury",,,-,23,434,457
Stamford,,,-,0,31,31
Stannard,,,-,4,9,13
Starksboro,,,-,2,103,105
Stockbridge,,,-,2,36,38
Stowe,,,-,8,218,226
Strafford,,,-,3,36,39
Stratton,,,-,0,17,17
Sudbury,,,-,1,36,37
Sunderland,,,-,1,35,36
Sutton,,,-,6,45,51
Swanton,,,-,42,342,384
Thetford,,,-,3,61,64
Tinmouth,,,-,1,34,35
Topsham,,,-,1,77,78
Townshend,,,-,5,42,47
Troy,,,-,4,47,51
Tunbridge,,,-,23,62,85
Underhill,,,-,3,138,141
Vergennes,,,-,6,131,137
Vernon,,,-,11,172,183
Vershire,,,-,2,20,22
Victory,,,-,1,10,11
Waitsfield,,,-,2,91,93
Walden,,,-,4,55,59
Wallingford,,,-,6,133,139
Waltham,,,-,4,14,18
Wardsboro,,,-,0,27,27
Warren,,,-,1,62,63
Washington,,,-,0,41,41
Waterbury,,,-,11,249,260
Waterford,,,-,3,89,92
Waterville,,,-,3,44,47
Weathersfield,,,-,2,115,117
Wells,,,-,2,45,47
"W. Fairlee",,,-,1,27,28
"W. Haven",,,-,2,15,17
"W. Rutland",,,-,12,133,145
"W. Windsor",,,-,9,44,53
Westfield,,,-,9,24,33
Westford,,,-,1,195,196
Westminster,-,"Windham 4",-,2,3,5
Westminster,-,"Windham 5",-,3,61,64
Westmore,,,-,1,17,18
Weston,,,-,0,40,40
Weybridge,,,-,4,43,47
Wheelock,,,-,0,56,56
Whiting,,,-,2,23,25
Whitingham,,,-,4,34,38
Williamstown,,,-,32,126,158
Williston,,,-,14,447,461
Wilmington,,,-,1,62,63
Windham,,,-,1,11,12
Windsor,,,-,3,85,88
Winhall,,,-,2,46,48
Winooski,,,-,3,159,162
Wolcott,,,-,8,65,73
Woodbury,,,-,5,71,76
Woodford,,,-,3,9,12
Woodstock,,,-,9,174,183
Worcester,,,-,2,50,52
TOTALS,,,-,"2,078","27,812","29,890"
