City/Town,Ward,Pct,"Cynthia Browning",Write-Ins,Blanks,"Total Votes Cast"
,,,
Arlington,,,162,3,41,206
Rupert,,,9,0,4,13
Sandgate,,,37,0,7,44
Sunderland,,,53,0,15,68
TOTALS,,,261,3,67,331
