City/Town,Ward,Pct,"Paul D. Beaudry","John M. Mitchell","Keith Stern",Write-Ins,Blanks,"Total Votes Cast"
"Mount Holly",,,18,48,15,0,15,96
"Mount Tabor",,,4,6,0,0,0,10
"New Haven",,,44,38,6,3,18,109
Newark,,,12,13,5,0,7,37
Newbury,,,35,37,38,3,20,133
Newfane,,,10,6,16,1,10,43
"Newport City",,,110,43,12,14,19,198
"Newport Town",,,36,9,9,1,13,68
"N. Hero",,,41,10,5,0,11,67
Northfield,,,97,78,25,4,82,286
Norton,,,6,7,0,2,2,17
Norwich,,,6,21,19,1,14,61
Orange,,,46,26,6,1,14,93
Orwell,,,49,67,5,9,30,160
Panton,,,13,17,7,1,8,46
Pawlet,,,6,44,6,0,8,64
Peacham,,,22,10,4,0,11,47
Peru,,,2,12,6,0,2,22
Pittsfield,,,6,27,2,2,6,43
Pittsford,,,21,160,4,6,35,226
Plainfield,,,23,18,5,0,19,65
Plymouth,,,14,17,7,0,7,45
Pomfret,,,10,16,11,1,6,44
Poultney,,,27,84,8,2,18,139
Pownal,,,14,42,17,0,17,90
Proctor,,,20,105,5,1,19,150
Putney,,,7,14,16,0,7,44
Randolph,,,106,101,52,2,61,322
Reading,,,3,10,13,1,2,29
Readsboro,,,6,13,7,0,4,30
Richford,,,47,9,2,4,6,68
Richmond,,,86,42,22,0,25,175
Ripton,,,2,7,0,0,4,13
Rochester,,,16,38,9,0,10,73
Rockingham,,,23,42,90,3,43,201
Roxbury,,,14,7,0,0,10,31
Royalton,,,17,32,25,3,23,100
Rupert,-,"Bennington 5",5,1,0,0,1,7
Rupert,-,"Rutland 8",7,8,0,0,0,15
"Rutland City",-,"Rutland 5-1",52,220,8,5,62,347
"Rutland City",-,"Rutland 5-2",32,167,12,4,28,243
"Rutland City",-,"Rutland 5-3",20,87,5,1,18,131
"Rutland City",-,"Rutland 5-4",27,150,6,3,22,208
"Rutland Town",,,63,269,11,5,46,394
Ryegate,,,24,24,5,2,8,63
Salisbury,,,10,19,5,1,9,44
Sandgate,,,11,12,2,0,0,25
Searsburg,,,2,4,3,0,1,10
Shaftsbury,,,20,66,15,7,25,133
Sharon,,,8,8,16,1,12,45
Sheffield,,,9,9,3,3,0,24
Shelburne,-,"Chittenden 5-1",89,90,22,2,70,273
Shelburne,-,"Chittenden 5-2",69,59,13,2,45,188
Sheldon,,,69,14,3,13,9,108
Shoreham,,,28,31,9,5,13,86
Shrewsbury,,,9,51,6,2,7,75
"S. Burlington",-,"Chittenden 3-10",73,52,11,2,37,175
"S. Burlington",-,"Chittenden 3-7",51,49,15,0,44,159
"S. Burlington",-,"Chittenden 3-8",97,79,22,3,43,244
"S. Burlington",-,"Chittenden 3-9",101,56,13,3,41,214
"S. Hero",,,57,22,4,9,30,122
Springfield,-,"Windsor 1-1",0,1,5,0,1,7
Springfield,-,"Windsor 1-2",54,54,253,6,26,393
"St. Albans City",,,180,49,9,33,34,305
"St. Albans Town",,,318,75,15,37,75,520
"St. George",,,10,7,1,0,4,22
"St. Johnsbury",,,142,153,81,2,79,457
Stamford,,,10,15,2,0,4,31
Stannard,,,4,6,2,0,1,13
Starksboro,,,47,24,11,0,23,105
Stockbridge,,,13,18,3,1,3,38
Stowe,,,101,54,22,3,46,226
Strafford,,,5,15,12,0,7,39
Stratton,,,2,9,1,0,5,17
Sudbury,,,2,32,1,0,2,37
Sunderland,,,4,17,8,0,7,36
Sutton,,,18,14,5,2,11,50
Swanton,,,275,59,9,13,28,384
Thetford,,,12,16,20,2,14,64
Tinmouth,,,5,22,3,0,5,35
Topsham,,,34,22,8,0,14,78
Townshend,,,10,13,14,1,9,47
Troy,,,31,5,7,1,7,51
Tunbridge,,,21,25,14,8,16,84
Underhill,,,76,36,7,2,24,145
Vergennes,,,46,54,9,3,0,112
Vernon,,,36,53,47,5,43,184
Vershire,,,7,0,10,0,5,22
Victory,,,3,3,3,1,1,11
Waitsfield,,,42,28,11,1,12,94
Walden,,,23,12,6,0,18,59
Wallingford,,,25,85,11,0,18,139
Waltham,,,6,6,0,2,4,18
Wardsboro,,,5,9,6,0,7,27
Warren,,,28,19,4,1,11,63
Washington,,,15,11,3,0,12,41
Waterbury,,,113,51,20,6,70,260
Waterford,,,27,41,10,1,13,92
Waterville,,,28,4,3,1,11,47
Weathersfield,,,15,22,70,1,9,117
Wells,,,8,29,3,0,7,47
"W. Fairlee",,,10,5,5,0,8,28
"W. Haven",,,0,15,0,0,2,17
"W. Rutland",,,22,94,7,1,21,145
"W. Windsor",,,6,12,18,5,11,52
Westfield,,,24,2,3,3,1,33
Westford,,,100,31,14,0,51,196
Westminster,-,"Windham 4",1,1,2,0,1,5
Westminster,-,"Windham 5",13,14,27,1,9,64
Westmore,,,5,6,4,0,3,18
Weston,,,9,16,9,0,6,40
Weybridge,,,19,20,1,1,6,47
Wheelock,,,19,20,11,1,5,56
Whiting,,,13,7,2,1,0,23
Whitingham,,,11,11,11,0,6,39
Williamstown,,,55,50,14,12,26,157
Williston,,,216,123,35,0,87,461
Wilmington,,,20,20,20,0,4,64
Windham,,,2,2,5,0,3,12
Windsor,,,14,26,42,0,7,89
Winhall,,,10,19,8,2,9,48
Winooski,,,83,36,6,2,35,162
Wolcott,,,38,10,9,2,13,72
Woodbury,,,48,15,5,2,6,76
Woodford,,,2,4,3,1,2,12
Woodstock,,,23,53,66,5,37,184
Worcester,,,19,16,4,0,13,52
TOTALS,,,"10,797","9,631","3,551",659,"5,280","29,918"
