City/Town,Ward,Pct,"Kathleen C. Keenan","Jeff Young",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"St. Albans City",,,537,414,119,310,"1,380"
TOTALS,,,537,414,119,310,"1,380"
