City/Town,Ward,Pct,"Mark A. Macdonald",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,,,91,6,23,120
Brookfield,,,148,8,32,188
Chelsea,,,113,3,34,150
Corinth,,,136,6,35,177
Randolph,,,495,15,82,592
Strafford,,,237,2,48,287
Thetford,,,401,4,92,497
Tunbridge,,,187,14,35,236
Vershire,,,82,3,15,100
Washington,,,78,1,24,103
Williamstown,,,235,21,21,277
TOTALS,,,"2,203",83,441,"2,727"
