City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,129,21,0,150
Albany,,,80,0,16,96
Alburgh,,,130,2,37,169
Andover,,,44,0,16,60
Arlington,,,176,0,30,206
Athens,,,18,0,9,27
Bakersfield,,,125,3,29,157
Baltimore,,,12,0,1,13
Barnard,,,118,0,38,156
Barnet,,,148,1,35,184
"Barre City",-,"Washington 3-1",308,5,56,369
"Barre City",-,"Washington 3-2",263,2,47,312
"Barre City",-,"Washington 3-3",48,0,13,61
"Barre Town",,,623,7,107,737
Barton,,,131,1,20,152
Belvidere,,,25,0,1,26
Bennington,-,"Bennington 2-1",649,5,285,939
Bennington,-,"Bennington 2-2",454,5,126,585
Benson,,,67,2,15,84
Berkshire,,,80,2,17,99
Berlin,,,267,1,53,321
Bethel,,,212,1,51,264
Bloomfield,,,14,0,4,18
Bolton,,,127,0,22,149
Bradford,,,244,0,81,325
Braintree,,,94,0,26,120
Brandon,,,324,2,53,379
Brattleboro,-,"Windham 3-1",546,3,210,759
Brattleboro,-,"Windham 3-2",455,12,143,610
Brattleboro,-,"Windham 3-3",445,10,178,633
Bridgewater,,,87,4,21,112
Bridport,,,127,0,23,150
Brighton,,,92,3,34,129
Bristol,,,350,9,67,426
Brookfield,,,165,1,23,189
Brookline,,,48,0,21,69
Brownington,,,52,0,8,60
Brunswick,,,17,0,6,23
Burke,,,90,0,30,120
Burlington,-,"Chittenden 3-1","1,015",8,138,"1,161"
Burlington,-,"Chittenden 3-2",588,2,101,691
Burlington,-,"Chittenden 3-3",698,4,231,933
Burlington,-,"Chittenden 3-4",564,4,146,714
Burlington,-,"Chittenden 3-5","1,413",8,327,"1,748"
Burlington,-,"Chittenden 3-6",135,4,35,174
Cabot,,,130,1,26,157
Calais,,,305,1,82,388
Cambridge,,,293,8,61,362
Canaan,,,51,4,20,75
Castleton,,,179,3,49,231
Cavendish,,,93,4,26,123
Charleston,,,66,2,13,81
Charlotte,,,645,6,177,828
Chelsea,,,118,3,28,149
Chester,,,313,2,63,378
Chittenden,,,126,0,26,152
Clarendon,,,143,2,30,175
Colchester,-,"Chittenden 7-1",569,3,119,691
Colchester,-,"Chittenden 7-2",671,2,136,809
Concord,,,68,3,12,83
Corinth,,,125,3,49,177
Cornwall,,,230,2,37,269
Coventry,,,74,1,8,83
Craftsbury,,,155,6,34,195
Danby,,,87,2,22,111
Danville,,,198,2,36,236
Derby,,,342,4,47,393
Dorset,,,171,2,66,239
Dover,,,88,0,49,137
Dummerston,,,333,0,118,451
Duxbury,,,173,2,52,227
"E. Haven",,,22,0,4,26
"E. Montpelier",,,439,7,96,542
Eden,,,58,6,7,71
Elmore,,,119,1,16,136
Enosburgh,,,178,4,47,229
Essex,-,"Chittenden 6-1",663,2,109,774
Essex,-,"Chittenden 6-2",771,4,126,901
