City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,75,0,16,91
Whitingham,,,90,2,18,110
Wilmington,,,179,3,24,206
TOTALS,,,344,5,58,407
