City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,19,1,2,22
Cambridge,,,155,4,4,163
Elmore,,,36,0,9,45
"Hyde Park",,,145,0,22,167
Johnson,,,76,1,13,90
Morristown,,,244,4,37,285
Stowe,,,198,1,27,226
Waterville,,,32,6,9,47
TOTALS,,,905,17,123,"1,045"
