City/Town,Ward,Pct,"Linda J. Martin",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Hyde Park",,,260,5,61,326
Wolcott,,,155,7,11,173
TOTALS,,,415,12,72,499
