City/Town,Ward,Pct,"Gary P. Allard",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnet,,,146,3,36,185
Ryegate,,,96,4,22,122
Waterford,,,75,0,11,86
TOTALS,,,317,7,69,393
