City/Town,Ward,Pct,"June Horak Rosenberg",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jay,,,30,2,16,48
Lowell,,,40,19,19,78
Montgomery,,,108,4,25,137
Troy,,,77,5,24,106
Westfield,,,46,11,8,65
TOTALS,,,301,41,92,434
