City/Town,Ward,Pct,"Gaila S. Gulack",Write-Ins,Blanks,"Total Votes Cast"
,,,
Marlboro,,,20,0,2,22
Newfane,,,33,1,9,43
Townshend,,,35,1,11,47
TOTALS,,,88,2,22,112
