City/Town,Ward,Pct,"Jay Purvis","David Light",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,45,58,3,74,180
"Grand Isle",,,90,80,15,83,268
"Isle La Motte",,,8,20,0,30,58
Milton,,,54,54,0,50,158
"N. Hero",,,40,43,2,49,134
"S. Hero",,,89,47,19,87,242
TOTALS,,,326,302,39,373,"1,040"
