City/Town,Ward,Pct,"Nancy Potak",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,0,0,2,2
Barton,,,2,0,2,4
Craftsbury,,,2,1,3,6
Greensboro,,,3,0,3,6
TOTALS,,,7,1,10,18
