City/Town,Ward,Pct,"Mark B. Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,127,3,25,155
Hartford,,,174,2,55,231
Pomfret,,,145,1,41,187
TOTALS,,,446,6,121,573
