City/Town,Ward,Pct,"Leigh J. Dakin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,51,1,8,60
Baltimore,,,11,0,2,13
Chester,,,332,7,39,378
Springfield,,,8,0,1,9
TOTALS,,,402,8,50,460
