City/Town,Ward,Pct,"Lucy Leriche",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,237,6,25,268
Stannard,,,29,0,0,29
Walden,,,101,1,14,116
TOTALS,,,367,7,39,413
