City/Town,Ward,Pct,"Kitty Beattie Toll",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cabot,,,137,1,19,157
Danville,,,215,3,18,236
Peacham,,,148,2,24,174
TOTALS,,,500,6,61,567
