City/Town,Ward,Pct,"Lucien G. Gravel",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Hyde Park",,,140,3,24,167
Wolcott,,,57,6,10,73
TOTALS,,,197,9,34,240
