City/Town,Ward,Pct,"Elizabeth Coppola","Paul E. Gibbs","Bryan Shohet",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Springfield,,,256,252,105,4,169,786
TOTALS,,,256,252,105,4,169,786
