City/Town,Ward,Pct,"Dustin Allard Degree","Newell H. Decker",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"St. Albans City",,,215,179,49,162,605
TOTALS,,,215,179,49,162,605
