City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,129,6,15,150
Albany,,,85,0,11,96
Alburgh,,,146,4,19,169
Andover,,,52,0,8,60
Arlington,,,186,0,19,205
Athens,,,20,0,7,27
Bakersfield,,,137,6,14,157
Baltimore,,,13,0,0,13
Barnard,,,136,2,17,155
Barnet,,,169,2,14,185
"Barre City",-,"Washington 3-1",326,3,40,369
"Barre City",-,"Washington 3-2",286,3,23,312
"Barre City",-,"Washington 3-3",56,0,5,61
"Barre Town",,,657,12,66,735
Barton,,,136,3,13,152
Belvidere,,,25,1,0,26
Bennington,-,"Bennington 2-1",746,2,191,939
Bennington,-,"Bennington 2-2",501,4,80,585
Benson,,,76,0,9,85
Berkshire,,,80,8,11,99
Berlin,,,277,4,40,321
Bethel,,,239,1,24,264
Bloomfield,,,17,0,1,18
Bolton,,,136,0,12,148
Bradford,,,274,2,47,323
Braintree,,,108,2,10,120
Brandon,,,347,5,27,379
Brattleboro,-,"Windham 3-1",666,5,88,759
Brattleboro,-,"Windham 3-2",544,5,61,610
Brattleboro,-,"Windham 3-3",554,6,73,633
Bridgewater,,,95,6,11,112
Bridport,,,130,5,15,150
Brighton,,,98,4,26,128
Bristol,,,391,8,27,426
Brookfield,,,171,1,15,187
Brookline,,,62,1,6,69
Brownington,,,54,0,6,60
Brunswick,,,19,0,4,23
Burke,,,110,0,10,120
Burlington,-,"Chittenden 3-1","1,036",9,116,"1,161"
Burlington,-,"Chittenden 3-2",616,9,68,693
Burlington,-,"Chittenden 3-3",812,9,112,933
Burlington,-,"Chittenden 3-4",642,2,69,713
Burlington,-,"Chittenden 3-5","1,597",6,145,"1,748"
Burlington,-,"Chittenden 3-6",174,5,16,195
Cabot,,,138,2,17,157
Calais,,,340,0,45,385
Cambridge,,,326,5,31,362
Canaan,,,64,2,9,75
Castleton,,,200,2,29,231
Cavendish,,,103,2,18,123
Charleston,,,70,4,7,81
Charlotte,,,715,19,92,826
Chelsea,,,129,0,20,149
Chester,,,335,0,42,377
Chittenden,,,136,0,15,151
Clarendon,,,146,2,26,174
Colchester,-,"Chittenden 7-1",591,11,89,691
Colchester,-,"Chittenden 7-2",681,0,111,792
Concord,,,70,4,8,82
Corinth,,,155,1,22,178
Cornwall,,,243,1,25,269
Coventry,,,73,0,9,82
Craftsbury,,,168,3,23,194
Danby,,,99,0,12,111
Danville,,,209,1,24,234
Derby,,,349,6,38,393
Dorset,,,214,3,22,239
Dover,,,106,1,29,136
Dummerston,,,413,3,34,450
Duxbury,,,188,6,33,227
"E. Haven",,,23,0,3,26
"E. Montpelier",,,483,3,56,542
Eden,,,58,1,12,71
Elmore,,,127,2,7,136
Enosburgh,,,199,7,18,224
Essex,-,"Chittenden 6-1",694,8,71,773
Essex,-,"Chittenden 6-2",804,13,77,894
Essex,-,"Chittenden 6-3",267,5,17,289
"Fair Haven",,,147,8,16,171
Fairfax,,,326,6,48,380
Fairfield,,,225,5,23,253
Fairlee,,,102,1,6,109
Fayston,,,151,1,18,170
Ferrisburgh,,,306,3,23,332
Fletcher,,,118,1,15,134
Franklin,,,111,7,7,125
Georgia,,,245,3,40,288
Glover,,,118,7,16,141
Goshen,,,42,0,3,45
Grafton,,,90,1,13,104
Granby,,,9,0,1,10
"Grand Isle",,,278,19,31,328
Granville,,,49,0,4,53
Greensboro,,,110,0,14,124
Groton,,,80,1,10,91
Guildhall,,,32,0,3,35
Guilford,,,344,1,37,382
Halifax,,,76,0,15,91
Hancock,,,27,3,3,33
Hardwick,,,242,2,25,269
Hartford,-,"Windsor 6-1",210,1,19,230
Hartford,-,"Windsor 6-2",645,10,14,669
Hartland,,,663,5,81,749
