City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Benson,,,-,4,5,9
Castleton,,,-,0,3,3
Chittenden,,,-,1,2,3
Clarendon,,,-,0,6,6
Danby,,,-,1,2,3
Killington,,,-,3,3,6
Mendon,,,-,0,9,9
"Middletown Springs",,,-,3,3,6
"Mount Holly",,,-,3,12,15
Pittsfield,,,-,0,3,3
Pittsford,,,-,3,3,6
Poultney,,,-,0,6,6
Proctor,,,-,0,6,6
"Rutland City",-,"Rutland 5-1",-,0,3,3
"Rutland City",-,"Rutland 5-2",-,2,7,9
"Rutland City",-,"Rutland 5-3",-,5,1,6
"Rutland City",-,"Rutland 5-4",-,3,0,3
"Rutland Town",,,-,0,3,3
Shrewsbury,,,-,1,5,6
Tinmouth,,,-,2,7,9
"W. Haven",,,-,2,0,2
"W. Rutland",,,-,0,6,6
TOTALS,,,-,33,95,128
