City/Town,Ward,Pct,"Janet Ancel",Write-Ins,Blanks,"Total Votes Cast"
,,,
Calais,,,344,0,43,387
Marshfield,,,257,1,38,296
Plainfield,,,219,2,47,268
TOTALS,,,820,3,128,951
