City/Town,Ward,Pct,"Gary Reis","Tim Persons","Leslie Salmon",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"St. Johnsbury",,,293,247,222,3,149,914
TOTALS,,,293,247,222,3,149,914
