City/Town,Ward,Pct,"Lisa Erwin-Davidson","Frank Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brownington,,,42,32,3,43,120
Charleston,,,61,45,7,49,162
Derby,,,287,211,23,264,785
Holland,,,37,31,2,40,110
Morgan,,,54,28,2,48,132
TOTALS,,,481,347,37,444,"1,309"
