City/Town,Ward,Pct,"Richard Lawrence","Howard Crawford",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burke,,,72,70,0,18,160
Lyndon,,,234,206,3,65,508
Sutton,,,47,36,1,18,102
TOTALS,,,353,312,4,101,770
