City/Town,Ward,Pct,"Dave Sharpe","Michael Fisher",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,333,294,85,140,852
Lincoln,,,233,247,7,89,576
Monkton,,,240,241,13,128,622
Starksboro,,,206,211,4,101,522
TOTALS,,,"1,012",993,109,458,"2,572"
