City/Town,Ward,Pct,"Brian K. Savage","Marianna Gamache",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Sheldon,,,85,50,36,45,216
Swanton,,,328,220,17,203,768
TOTALS,,,413,270,53,248,984
