City/Town,Ward,Pct,"John Heffernan","Fred K. Baser","Dan Nugent",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Bristol,,,184,181,52,3,38,458
Lincoln,,,50,37,28,0,27,142
Monkton,,,32,32,28,0,28,120
Starksboro,,,61,25,79,0,45,210
TOTALS,,,327,275,187,3,138,930
