City/Town,Ward,Pct,"Ashley D. Waite",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Middletown Springs",,,38,0,3,41
Pawlet,,,56,2,6,64
Rupert,,,18,0,0,18
Wells,,,45,0,2,47
TOTALS,,,157,2,11,170
