City/Town,Ward,Pct,"Nicole F. Ling",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,80,3,22,105
Stannard,,,11,1,1,13
Walden,,,45,3,11,59
TOTALS,,,136,7,34,177
