City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 7-1",565,5,121,691
Colchester,-,"Chittenden 7-2",678,4,122,804
"Grand Isle",,,287,2,39,328
"Isle La Motte",,,81,4,15,100
"N. Hero",,,113,0,18,131
"S. Hero",,,293,1,39,333
TOTALS,,,"2,017",16,354,"2,387"
