City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
Rupert,-,"Bennington 5",11,0,2,13
Rupert,-,"Rutland 8",58,0,11,69
"Rutland City",-,"Rutland 5-1",370,3,97,470
"Rutland City",-,"Rutland 5-2",332,3,62,397
"Rutland City",-,"Rutland 5-3",211,3,39,253
"Rutland City",-,"Rutland 5-4",277,3,64,344
"Rutland Town",,,407,6,76,489
Ryegate,,,104,3,15,122
Salisbury,,,103,0,13,116
Sandgate,,,38,0,6,44
Searsburg,,,7,1,2,10
Shaftsbury,,,346,0,75,421
Sharon,,,158,2,32,192
Sheffield,,,38,0,10,48
Shelburne,-,"Chittenden 5-1",729,4,122,855
Shelburne,-,"Chittenden 5-2",471,2,84,557
Sheldon,,,168,5,10,183
Shoreham,,,141,0,34,175
Shrewsbury,,,124,0,38,162
"S. Burlington",-,"Chittenden 3-10",494,2,61,557
"S. Burlington",-,"Chittenden 3-7",590,4,108,702
"S. Burlington",-,"Chittenden 3-8",718,9,122,849
"S. Burlington",-,"Chittenden 3-9",431,4,82,517
"S. Hero",,,280,9,44,333
Springfield,-,"Windsor 1-1",9,0,0,9
Springfield,-,"Windsor 1-2",689,6,101,796
"St. Albans City",,,630,4,56,690
"St. Albans Town",,,503,4,38,545
"St. George",,,68,0,6,74
"St. Johnsbury",,,417,2,58,477
Stamford,,,58,0,9,67
Stannard,,,28,0,1,29
Starksboro,,,219,1,41,261
Stockbridge,,,83,6,27,116
Stowe,,,439,6,78,523
Strafford,,,238,0,49,287
Stratton,,,8,0,4,12
Sudbury,,,68,0,7,75
Sunderland,,,58,0,10,68
Sutton,,,47,1,5,53
Swanton,,,457,3,38,498
Thetford,,,382,1,114,497
Tinmouth,,,81,0,10,91
Topsham,,,75,0,15,90
Townshend,,,129,0,43,172
Troy,,,95,1,11,107
Tunbridge,,,195,1,41,237
Underhill,,,400,1,74,475
Vergennes,,,243,2,28,273
Vernon,,,149,2,52,203
Vershire,,,85,0,15,100
Victory,,,6,1,0,7
Waitsfield,,,280,0,59,339
Walden,,,99,0,17,116
Wallingford,,,190,0,37,227
Waltham,,,70,0,9,79
Wardsboro,,,63,0,14,77
Warren,,,202,0,47,249
Washington,,,88,0,15,103
Waterbury,,,630,0,78,708
Waterford,,,75,0,11,86
Waterville,,,50,0,14,64
Weathersfield,,,259,2,35,296
Wells,,,54,0,7,61
"W. Fairlee",,,61,0,7,68
"W. Haven",,,17,1,0,18
"W. Rutland",,,139,1,17,157
"W. Windsor",,,160,1,36,197
Westfield,,,54,3,7,64
Westford,,,338,1,92,431
Westminster,-,"Windham 4",29,0,3,32
Westminster,-,"Windham 5",495,2,129,626
Westmore,,,34,1,15,50
Weston,,,91,1,21,113
Weybridge,,,176,0,31,207
Wheelock,,,48,0,9,57
Whiting,,,33,0,8,41
Whitingham,,,86,0,24,110
Williamstown,,,255,4,19,278
Williston,,,"1,084",9,213,"1,306"
Wilmington,,,156,1,48,205
Windham,,,59,1,13,73
Windsor,,,341,0,46,387
Winhall,,,58,0,17,75
Winooski,,,528,8,98,634
Wolcott,,,144,0,30,174
Woodbury,,,141,1,24,166
Woodford,,,33,1,6,40
Woodstock,,,515,1,128,644
Worcester,,,177,0,27,204
TOTALS,,,"62,319",402,"11,614","74,335"
