City/Town,Ward,Pct,"Clement Bissonnette","Kenneth W. Atkins",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,,,121,123,5,136,385
Winooski,,,454,437,16,361,"1,268"
TOTALS,,,575,560,21,497,"1,653"
