City/Town,Ward,Pct,"Patsy French","Larry Townsend",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Braintree,,,96,88,5,51,240
Brookfield,,,152,129,5,93,379
Granville,,,40,36,4,25,105
Randolph,,,516,417,22,233,"1,188"
TOTALS,,,804,670,36,402,"1,912"
