City/Town,Ward,Pct,"Dick Sears","Bob Hartwell",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,169,128,0,115,412
Bennington,-,"Bennington 2-1",762,509,5,602,"1,878"
Bennington,-,"Bennington 2-2",488,353,9,320,"1,170"
Dorset,,,162,182,4,130,478
Landgrove,,,24,30,0,24,78
Manchester,,,256,256,1,209,722
Peru,,,27,41,0,34,102
Pownal,,,181,124,0,151,456
Readsboro,,,48,30,0,42,120
Rupert,-,"Bennington 5",9,7,0,10,26
Rupert,-,"Rutland 8",54,43,0,41,138
Sandgate,,,37,27,0,24,88
Searsburg,,,4,6,0,10,20
Shaftsbury,,,359,261,2,220,842
Stamford,,,60,33,1,40,134
Sunderland,,,55,44,0,39,138
Wilmington,,,146,114,5,147,412
Winhall,,,47,50,3,52,152
Woodford,,,33,24,1,22,80
TOTALS,,,"2,921","2,262",31,"2,232","7,446"
